train_loss,val_loss,val_auc,val_dice,val_iou,train_seg,train_cls,train_den
3.5938,3.3243,0.4917,0.0245,0.013,0.0,0.0,0.0
3.3805,3.3108,0.5234,0.0225,0.012,0.0,0.0,0.0
3.089,2.8856,0.5492,0.0385,0.0214,0.0,0.0,0.0
2.9199,2.8842,0.621,0.1156,0.0805,0.0,0.0,0.0
2.7888,2.6646,0.5671,0.2007,0.1689,0.0,0.0,0.0
2.6716,2.5515,0.621,0.2584,0.2232,0.0,0.0,0.0
2.6084,2.5948,0.681,0.2427,0.204,0.0,0.0,0.0
2.5583,2.4657,0.6595,0.25,0.2098,0.0,0.0,0.0
2.5289,2.4235,0.7187,0.3164,0.2787,0.0,0.0,0.0
2.5036,2.3167,0.6849,0.2457,0.2076,0.0,0.0,0.0
2.4668,2.2792,0.7234,0.2432,0.2054,0.0,0.0,0.0
2.439,2.2403,0.7619,0.2366,0.1978,0.0,0.0,0.0
2.4077,2.2292,0.7179,0.2114,0.1728,0.0,0.0,0.0
2.3949,2.2205,0.7329,0.2536,0.2172,0.0,0.0,0.0
2.3645,2.2141,0.752,0.1497,0.1095,0.0,0.0,0.0
2.3371,2.1913,0.7563,0.289,0.2499,0.0,0.0,0.0
2.3851,2.2013,0.7837,0.2888,0.2497,0.0,0.0,0.0
2.3985,2.3985,0.7433,0.3176,0.2734,0.0,0.0,0.0
2.1469,2.1469,0.8187,0.1881,0.1038,0.0,0.0,0.0
2.1676,2.1676,0.7643,0.3055,0.259,0.0,0.0,0.0
2.0892,2.0892,0.7873,0.3429,0.316,0.0,0.0,0.0
2.1815,2.1815,0.7746,0.2947,0.2387,0.0,0.0,0.0
2.1106,2.1106,0.7905,0.268,0.2018,0.0,0.0,0.0
2.0898,2.0898,0.7762,0.3016,0.2599,0.0,0.0,0.0
2.1029,2.1029,0.7734,0.2592,0.2192,0.0,0.0,0.0
2.1127,2.1127,0.7548,0.305,0.259,0.0,0.0,0.0
2.0832,2.0832,0.7615,0.2843,0.2279,0.0,0.0,0.0
2.0585,2.0585,0.7524,0.2552,0.194,0.0,0.0,0.0
2.0665,2.0665,0.7806,0.317,0.2732,0.0,0.0,0.0
2.0551,2.0551,0.7937,0.1872,0.1031,0.0,0.0,0.0
2.0555,2.0555,0.7714,0.2363,0.1918,0.0,0.0,0.0
