train_loss,val_loss,val_auc,val_dice,val_iou,train_seg,train_cls,train_den
2.6955,2.6955,0.5877,0.1297,0.1031,0.0,0.0,0.0
2.683,2.683,0.602,0.1315,0.1052,0.0,0.0,0.0
2.6866,2.6866,0.6317,0.1403,0.1098,0.0,0.0,0.0
2.588,2.588,0.6528,0.1346,0.1063,0.0,0.0,0.0
2.5065,2.5065,0.6405,0.1501,0.1181,0.0,0.0,0.0
2.4286,2.4286,0.6619,0.185,0.1387,0.0,0.0,0.0
2.3763,2.3763,0.6528,0.2153,0.1645,0.0,0.0,0.0
2.3091,2.3091,0.7683,0.3099,0.2443,0.0,0.0,0.0
2.2734,2.2734,0.7504,0.3035,0.2387,0.0,0.0,0.0
2.2183,2.2183,0.7817,0.2577,0.1985,0.0,0.0,0.0
2.2015,2.2015,0.8226,0.2473,0.1815,0.0,0.0,0.0
2.2295,2.2295,0.7187,0.301,0.2365,0.0,0.0,0.0
2.2185,2.2185,0.7349,0.3157,0.2527,0.0,0.0,0.0
2.1996,2.1996,0.7099,0.3334,0.2724,0.0,0.0,0.0
2.1857,2.1857,0.7536,0.2968,0.2297,0.0,0.0,0.0
2.1806,2.1806,0.7063,0.3382,0.2768,0.0,0.0,0.0
2.1718,2.1718,0.7266,0.3423,0.2816,0.0,0.0,0.0
2.167,2.167,0.7405,0.3239,0.2556,0.0,0.0,0.0
2.1675,2.1675,0.7504,0.2961,0.2285,0.0,0.0,0.0
2.1486,2.1486,0.7476,0.3126,0.2456,0.0,0.0,0.0
2.1568,2.1568,0.7647,0.2792,0.2157,0.0,0.0,0.0
2.1334,2.1334,0.7659,0.2541,0.1936,0.0,0.0,0.0
2.1484,2.1484,0.7552,0.2657,0.205,0.0,0.0,0.0
