train_loss,val_loss,val_auc,val_dice,val_iou,train_seg,train_cls,train_den
3.4151,3.4151,0.6214,0.0295,0.015,0.0,0.0,1.0
3.1469,3.1469,0.5155,0.1108,0.0587,0.0,0.0,1.0
3.1663,3.1663,0.4687,0.141,0.0831,0.0,0.0,1.0
3.0113,3.0113,0.4405,0.1486,0.0897,0.0,0.0,1.0
2.9735,2.9735,0.4659,0.1569,0.0958,0.0,0.0,1.0
2.9729,2.9729,0.5206,0.2165,0.1558,0.0,0.0,1.0
2.9722,2.9722,0.5532,0.1883,0.1261,0.0,0.0,1.0
2.9969,2.9969,0.5766,0.2619,0.2056,0.0,0.0,1.0
2.7955,2.7955,0.5786,0.3044,0.2418,0.0,0.0,1.0
2.7413,2.7413,0.5341,0.2587,0.2024,0.0,0.0,1.0
2.6999,2.6999,0.5496,0.251,0.1964,0.0,0.0,1.0
2.7228,2.7228,0.5845,0.2437,0.189,0.0,0.0,1.0
2.615,2.615,0.6472,0.2928,0.2324,0.0,0.0,1.0
2.6527,2.6527,0.7925,0.1609,0.1025,0.0,0.0,1.0
2.4338,2.4338,0.8266,0.3084,0.245,0.0,0.0,1.0
2.438,2.438,0.7889,0.2535,0.1973,0.0,0.0,1.0
2.3991,2.3991,0.8206,0.3303,0.2697,0.0,0.0,1.0
2.5058,2.5058,0.794,0.1945,0.1336,0.0,0.0,1.0
2.4786,2.4786,0.796,0.2235,0.1602,0.0,0.0,1.0
2.4793,2.4793,0.8512,0.2189,0.1561,0.0,0.0,1.0
2.3697,2.3697,0.8099,0.2837,0.2235,0.0,0.0,1.0
2.338,2.338,0.8198,0.2719,0.2124,0.0,0.0,1.0
2.3227,2.3227,0.8413,0.2321,0.1713,0.0,0.0,1.0
2.3014,2.3014,0.8016,0.181,0.1203,0.0,0.0,1.0
2.4093,2.4093,0.7992,0.2968,0.2365,0.0,0.0,1.0
2.2736,2.2736,0.798,0.3035,0.2428,0.0,0.0,1.0
2.3964,2.3964,0.8599,0.3305,0.2701,0.0,0.0,1.0
2.2577,2.2577,0.8452,0.3286,0.2675,0.0,0.0,1.0
2.287,2.287,0.8671,0.3282,0.2669,0.0,0.0,1.0
2.2732,2.2732,0.846,0.3057,0.2412,0.0,0.0,1.0
2.2906,2.2906,0.8556,0.3422,0.2813,0.0,0.0,1.0
2.2486,2.2486,0.8452,0.2967,0.2364,0.0,0.0,1.0
2.256,2.256,0.8302,0.3081,0.2447,0.0,0.0,1.0
2.2479,2.2479,0.8444,0.3157,0.2521,0.0,0.0,1.0
2.2511,2.2511,0.8325,0.3542,0.293,0.0,0.0,1.0
2.2701,2.2701,0.8337,0.3433,0.2821,0.0,0.0,1.0
2.2415,2.2415,0.8381,0.3437,0.2825,0.0,0.0,1.0
2.2461,2.2461,0.8353,0.338,0.276,0.0,0.0,1.0
2.2573,2.2573,0.8437,0.3183,0.254,0.0,0.0,1.0
2.2682,2.2682,0.8381,0.3348,0.2731,0.0,0.0,1.0
2.2524,2.2524,0.8456,0.3191,0.2547,0.0,0.0,1.0
