train_loss,val_loss,val_auc,val_dice,val_iou,train_seg,train_cls,train_den
4.554,3.6999,0.4845,0.0232,0.0123,1.375,0.737,1.39
4.2035,3.7277,0.4595,0.0613,0.0363,1.286,0.719,1.329
3.9418,3.6242,0.4913,0.1109,0.0745,1.201,0.729,1.343
3.6759,3.4011,0.6,0.1511,0.1161,1.14,0.728,1.322
3.4181,3.3011,0.5456,0.2285,0.1916,1.083,0.718,1.316
3.2573,3.1068,0.525,0.2712,0.2296,1.061,0.72,1.32
3.1176,2.9755,0.5615,0.3508,0.3112,1.033,0.718,1.313
2.9924,2.8331,0.5544,0.3355,0.2988,1.012,0.721,1.315
2.8966,2.8741,0.5746,0.3386,0.3001,0.992,0.721,1.282
2.8489,2.7382,0.6246,0.3404,0.3041,0.98,0.729,1.319
2.7722,2.6683,0.6762,0.3605,0.3244,0.956,0.717,1.318
2.6647,2.5228,0.7901,0.3631,0.3259,0.944,0.691,1.317
2.686,2.5499,0.8313,0.3626,0.3251,0.927,0.71,1.32
2.6464,2.4403,0.8802,0.3031,0.2644,0.93,0.698,1.32
2.6054,2.4698,0.8794,0.2844,0.2421,0.929,0.682,1.322
2.5261,2.379,0.8754,0.3084,0.2716,0.887,0.669,1.327
2.571,2.3857,0.8579,0.3074,0.2708,0.899,0.685,1.31
2.5189,2.4245,0.8627,0.3186,0.2788,0.898,0.668,1.295
2.4929,2.378,0.8714,0.3507,0.3125,0.885,0.664,1.31
2.5218,2.3333,0.8595,0.3387,0.3008,0.893,0.676,1.306
2.5234,2.3867,0.869,0.37,0.3323,0.889,0.676,1.337
2.4585,2.3941,0.8722,0.3134,0.2735,0.88,0.652,1.33
2.4851,2.3294,0.8595,0.3581,0.3205,0.881,0.663,1.334
2.4713,2.315,0.8337,0.2806,0.2397,0.868,0.67,1.315
2.5096,2.2856,0.8595,0.3165,0.2775,0.881,0.675,1.33
2.4377,2.243,0.8774,0.187,0.1457,0.865,0.654,1.304
2.4254,2.2483,0.8821,0.1622,0.1196,0.852,0.658,1.317
2.4458,2.283,0.8881,0.232,0.1896,0.873,0.662,1.293
2.4122,2.2388,0.8992,0.3679,0.3272,0.839,0.66,1.288
2.4132,2.246,0.8857,0.3481,0.3077,0.857,0.65,1.304
2.4585,2.2315,0.8869,0.2762,0.234,0.857,0.676,1.311
2.4058,2.2797,0.8563,0.2879,0.2458,0.861,0.647,1.304
2.4093,2.2834,0.8694,0.2814,0.2392,0.849,0.657,1.307
2.399,2.2444,0.8675,0.2954,0.2547,0.853,0.65,1.308
2.4065,2.2477,0.8794,0.2084,0.165,0.847,0.658,1.299
2.3478,2.2504,0.8635,0.3053,0.2628,0.828,0.634,1.301
2.4039,2.2288,0.8643,0.1729,0.1278,0.853,0.651,1.331
2.2867,2.2539,0.8603,0.3193,0.2786,0.828,0.605,1.313
2.4351,2.2638,0.8571,0.2825,0.2411,0.83,0.681,1.294
2.3804,2.2481,0.8595,0.3503,0.3113,0.841,0.648,1.298
2.4128,2.2426,0.8706,0.3278,0.2888,0.863,0.655,1.298
2.3712,2.2516,0.8452,0.2876,0.2457,0.827,0.65,1.323
2.4074,2.247,0.871,0.356,0.3163,0.838,0.662,1.312
2.3263,2.2376,0.8651,0.3485,0.309,0.825,0.632,1.277
